CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180,,,"Abilene, TX",Metropolitan Statistical Area,165252,165252,165642,166637,167529,167452,168592,390,995,892,-77,1140,574,2293,2357,2359,2351,391,1501,1585,1642,1655,183,792,772,717,696,90,193,464,336,291,118,8,-345,-1161,138,208,201,119,-825,429,-1,2,1,31,15
10180,,48059,"Callahan County, TX",County or equivalent,13544,13544,13516,13534,13515,13518,13513,-28,18,-19,3,-5,29,120,122,132,134,60,158,142,171,171,-31,-38,-20,-39,-37,0,4,5,5,5,5,40,-1,42,34,5,44,4,47,39,-2,12,-3,-5,-7
10180,,48253,"Jones County, TX",County or equivalent,20202,20198,20263,20281,19910,20068,19936,65,18,-371,158,-132,65,155,191,176,185,21,213,173,186,172,44,-58,18,-10,13,3,14,14,16,16,21,45,-411,186,-160,24,59,-397,202,-144,-3,17,8,-34,-1
10180,,48441,"Taylor County, TX",County or equivalent,131506,131510,131863,132822,134104,133866,135143,353,959,1282,-238,1277,480,2018,2044,2051,2032,310,1130,1270,1285,1312,170,888,774,766,720,87,175,445,315,270,92,-77,67,-1389,264,179,98,512,-1074,534,4,-27,-4,70,23
10420,,,"Akron, OH",Metropolitan Statistical Area,703200,703207,702967,702881,702203,703210,703825,-240,-86,-678,1007,615,1830,7577,7551,7666,7604,1591,6662,7001,6862,6924,239,915,550,804,680,259,1022,1062,1130,1126,-729,-1752,-2301,-966,-742,-470,-730,-1239,164,384,-9,-271,11,39,-449
10420,,39133,"Portage County, OH",County or equivalent,161419,161421,161355,161770,161336,161423,161882,-66,415,-434,87,459,323,1510,1384,1395,1369,331,1289,1357,1350,1329,-8,221,27,45,40,68,279,285,306,305,-125,-2,-764,-325,175,-57,277,-479,-19,480,-1,-83,18,61,-61
10420,,39153,"Summit County, OH",County or equivalent,541781,541786,541612,541111,540867,541787,541943,-174,-501,-244,920,156,1507,6067,6167,6271,6235,1260,5373,5644,5512,5595,247,694,523,759,640,191,743,777,824,821,-604,-1750,-1537,-641,-917,-413,-1007,-760,183,-96,-8,-188,-7,-22,-388
10500,,,"Albany, GA",Metropolitan Statistical Area,157308,157500,157663,157791,157355,155790,154925,163,128,-436,-1565,-865,540,2336,2182,2163,2093,410,1241,1395,1481,1421,130,1095,787,682,672,19,79,116,101,95,16,-1136,-1359,-2310,-1617,35,-1057,-1243,-2209,-1522,-2,90,20,-38,-15
10500,,13007,"Baker County, GA",County or equivalent,3451,3451,3443,3323,3369,3321,3255,-8,-120,46,-48,-66,12,35,37,27,28,2,27,16,13,25,10,8,21,14,3,0,1,1,1,1,-18,-134,26,-39,-79,-18,-133,27,-38,-78,0,5,-2,-24,9
10500,,13095,"Dougherty County, GA",County or equivalent,94565,94565,94530,94839,94542,93130,92407,-35,309,-297,-1412,-723,344,1570,1385,1377,1337,267,760,893,957,897,77,810,492,420,440,16,69,106,88,82,-128,-647,-906,-1887,-1216,-112,-578,-800,-1799,-1134,0,77,11,-33,-29
10500,,13177,"Lee County, GA",County or equivalent,28298,28298,28431,28614,28727,29061,29191,133,183,113,334,130,81,363,376,366,366,69,149,170,209,198,12,214,206,157,168,3,11,11,13,13,116,-43,-110,161,-67,119,-32,-99,174,-54,2,1,6,3,16
10500,,13273,"Terrell County, GA",County or equivalent,9315,9507,9525,9398,9247,9214,9132,18,-127,-151,-33,-82,37,128,138,125,129,7,102,99,94,93,30,26,39,31,36,0,1,1,1,1,-10,-158,-194,-69,-118,-10,-157,-193,-68,-117,-2,4,3,4,-1
10500,,13321,"Worth County, GA",County or equivalent,21679,21679,21734,21617,21470,21064,20940,55,-117,-147,-406,-124,66,240,246,268,233,65,203,217,208,208,1,37,29,60,25,0,-3,-3,-2,-2,56,-154,-175,-476,-137,56,-157,-178,-478,-139,-2,3,2,12,-10
10540,,,"Albany, OR",Metropolitan Statistical Area,116672,116672,116871,118117,118360,118644,119356,199,1246,243,284,712,369,1450,1445,1425,1412,260,1127,1125,1121,1186,109,323,320,304,226,13,43,36,42,44,80,876,-108,-100,425,93,919,-72,-58,469,-3,4,-5,38,17
10540,,41043,"Linn County, OR",County or equivalent,116672,116672,116871,118117,118360,118644,119356,199,1246,243,284,712,369,1450,1445,1425,1412,260,1127,1125,1121,1186,109,323,320,304,226,13,43,36,42,44,80,876,-108,-100,425,93,919,-72,-58,469,-3,4,-5,38,17
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716,870720,870954,872966,875270,878479,880167,234,2012,2304,3209,1688,2252,9103,9115,9195,9186,1794,7625,7652,7551,7735,458,1478,1463,1644,1451,536,2154,2432,2485,2447,-737,-1543,-1540,-769,-1968,-201,611,892,1716,479,-23,-77,-51,-151,-242
10580,,36001,"Albany County, NY",County or equivalent,304204,304208,304005,304840,306186,307418,308171,-203,835,1346,1232,753,773,3093,3125,3147,3124,566,2687,2802,2581,2659,207,406,323,566,465,277,1184,1216,1300,1300,-686,-743,-149,-523,-825,-409,441,1067,777,475,-1,-12,-44,-111,-187
10580,,36083,"Rensselaer County, NY",County or equivalent,159429,159427,159346,159654,159572,159653,159774,-81,308,-82,81,121,401,1715,1677,1606,1616,417,1481,1456,1540,1522,-16,234,221,66,94,74,298,316,333,334,-137,-161,-627,-342,-254,-63,137,-311,-9,80,-2,-63,8,24,-53
10580,,36091,"Saratoga County, NY",County or equivalent,219607,219613,220018,221088,222413,224119,224921,405,1070,1325,1706,802,559,2170,2192,2217,2199,365,1675,1628,1751,1807,194,495,564,466,392,89,244,458,394,355,130,388,326,781,33,219,632,784,1175,388,-8,-57,-23,65,22
